Gregg,34989
Rollins,35544
Arroyo,34834
Cota,35015
Linebrink,35466
Benoit,35348
Young,35458
Shields,35057
Turnbow,35132
Wise,35548
Reitsma,35483
Beckett,35340
Patterson,35229
Belisle,35352
Furcal,35277
Giles,35068
Garland,34917
Buehrle,35218
Quintero,34959
Patterson,35228
Sabathia,35040
Vargas,35246
Melhuse,35439
Sheets,35054
Kielty,34956
Phillips,35282
Estrada,34888
Gonzalez,35034
Eaton,34839
Hamilton,35697
Miller,35426
Izturis,34842
Byrnes,35219
Nady,35201
Podsednik,35380
Parrish,35244
Wilson,34864
Huff,35239
Pierre,35264
Pineiro,35271
Scutaro,35100
Gload,34992
Affeldt,34829
Chavez,35150
Lohse,35520
Rincon,35495
Rivera,35764
Beimel,35332
Grabow,34974
Wilson,34863
Duckworth,35672
Punto,35257
Michaels,35392
Towers,35141
Cook,34966
Hudson,35695
Uribe,34883
Ensberg,34897
Ohman,34905
Majewski,35406
Rauch,35468
Olivo,34908
Borchard,35372
Rowand,35524
Lidge,35489
Oswalt,34907
Williams,34856
Silva,35093
Maroth,35422
Suzuki,35102
Soriano,35128
Cintron,35094
Sanchez,35044
Hafner,35240
Coste,35642
Martinez,35419
Colome,35028
Hinske,35276
Smith,35572
Gordon,36597
Ramirez,35470
Lawrence,35523
Gibbons,34950
Utley,34825
Kearns,34918
Moseley,35752
Pujols,35297
Paronto,35700
Julio,35312
Burke,35576
Mackowiak,35404
Kennedy,35001
Nelson,35686
Roberts,35535
Zambrano,35048
Duchscherer,35171
Fossum,35292
Monroe,35455
Lyon,35462
Zambrano,35047
Cruz,34983
Jennings,35060
German,35214
Rivera,35490
Overbay,34904
Berroa,35364
Broussard,35313
Geary,35051
Anderson,36581
Amezaga,35560
Lackey,35469
Langerhans,35478
Thames,35161
Holliday,35383
Putz,35296
Thornton,35127
De La Rosa,35172
Guerrier,35002
Valdez,35581
Buck,35231
Lane,35506
Backe,35230
Veras,35607
Rodney,35530
Hall,35376
Bedard,35269
Cassidy,34951
Chacin,35148
Hudson,35236
Johnson,35085
Valverde,35248
Yates,35755
Ellis,34892
Mench,35441
Teixeira,35163
Sosa,35123
Peralta,35350
Francisco,35309
Bard,35210
Taguchi,35135
Laird,35501
Mauer,35443
Morneau,35454
Bootcheck,35286
Jenks,35064
Rodriguez,35531
Niekro,35193
Sanchez,35045
Myers,35393
Murphy,35586
Figgins,35280
Gross,34993
Blalock,35319
Duncan,35143
Feliciano,35712
Cabrera,34937
Gonzalez,35035
Peavy,35261
Nieves,35194
Phillips,35283
Infante,34847
Switzer,35098
Cantu,34947
Baldelli,35592
Crawford,34995
Heilman,35334
Jacobs,35058
Reyes,35505
Flores,35322
Mateo,35413
Wigginton,34851
Gardner,35616
Snelling,35110
Harang,35243
Perez,35363
Saarloos,35037
Lee,35481
Ross,35528
Bay,35328
Hendrickson,35368
Crisp,34979
Condrey,35645
Robertson,35537
Davis,35159
Carroll,34953
Guthrie,34928
Wang,35553
Miles,35395
Rouse,35467
Bowen,35370
Gobble,35021
Machado,35409
Quinlan,34961
Wellemeyer,34876
Castillo,34923
Doumit,35178
